id,titulo,comuna,hometype,precio_uf,currency,latitude,longitude,url_canonical,NSE
1060258,"Condominio Marina San Francisco, paine",Paine,casa,11500,UF,-33.864201,-70.890198,https://chile.estateathome.com/homedetails/6032786149814371/Condominio-Marina-San-Francisco-paine-Rm-metropolitana-Paine,ABC1
1054360,18 de septiembre,Paine,casa,2230,UF,-33.807800,-70.735497,https://chile.estateathome.com/homedetails/6543378316339080/18-de-septiembre-Rm-metropolitana-Paine,C3
1054366,Fundo San Juan de Viluco,Paine,casa,8173,UF,-33.777199,-70.744797,https://chile.estateathome.com/homedetails/4925658479950964/Fundo-San-Juan-de-Viluco-Rm-metropolitana-Paine,ABC1
1055039,18 de septiembre,Paine,casa,2230,UF,-33.807800,-70.736000,https://chile.estateathome.com/homedetails/1688762193890316/18-de-septiembre-Rm-metropolitana-Paine,C3
1059443,Mágica parcela en sector Abrantes-Paine,Paine,casa,2785,UF,-33.849300,-70.782204,https://chile.estateathome.com/homedetails/5055479924669168/Magica-parcela-en-sector-Abrantes-Paine-Rm-metropolitana-Paine,C2
1049294,Casa en Villa Los Lagos,Paine,casa,3200,UF,-33.811501,-70.735397,https://chile.estateathome.com/homedetails/1777656362850882/Casa-en-Villa-Los-Lagos-Rm-metropolitana-Paine,C2
1041681,18 de septiembre,Paine,casa,2250,UF,-33.808601,-70.739304,https://chile.estateathome.com/homedetails/1814052359117385/18-de-septiembre-Rm-metropolitana-Paine,C3
1084753,Los Alamos La Trilla,Paine,casa,7665,UF,-33.798100,-70.731300,https://chile.estateathome.com/homedetails/1177499036426518/Los-Alamos-La-Trilla-Rm-metropolitana-Paine,ABC1
1037586,18 de Septiembre/General Baquedano,Paine,casa,5437,UF,-33.809601,-70.732101,https://chile.estateathome.com/homedetails/2016900383057762/18-de-Septiembre-General-Baquedano-Rm-metropolitana-Paine,ABC1
1036816,Casa en Villa Los Lagos,Paine,casa,3200,UF,-33.811501,-70.735397,https://chile.estateathome.com/homedetails/1315892496031378/Casa-en-Villa-Los-Lagos-Rm-metropolitana-Paine,C2
1048559,Pircas De Huelquen,Paine,casa,7668,UF,-33.852501,-70.653198,https://chile.estateathome.com/homedetails/1029989285154374/Pircas-De-Huelquen-Rm-metropolitana-Paine,ABC1
1099030,El Vinculo / Paine,Paine,casa,12350,UF,-33.852299,-70.828903,https://chile.estateathome.com/homedetails/1339012756397207/El-Vinculo-Paine-Rm-metropolitana-Paine,ABC1
1033582,La Aparición,Paine,casa,10800,UF,-33.784302,-70.657501,https://chile.estateathome.com/homedetails/1727624755814707/La-Aparicion-Rm-metropolitana-Paine,ABC1
1029084,"SAN MARTIN 194, Paine",Paine,casa,4848,UF,-33.816761,-70.746399,https://chile.estateathome.com/homedetails/3499718030821605/SAN-MARTIN-194-Rm-metropolitana-Paine,ABC1
1046307,Buen precio! Casa con entorno sureño,Paine,casa,8900,UF,-33.858101,-70.848198,https://chile.estateathome.com/homedetails/6746084437782587/Buen-precio-Casa-con-entorno-sureno-Rm-metropolitana-Paine,ABC1
1026275,Lomas del Aguila,Paine,casa,1570,UF,-33.862499,-70.793404,https://chile.estateathome.com/homedetails/1386461818296764/Lomas-del-Aguila-Rm-metropolitana-Paine,D
1026277,Lomas del Aguila,Paine,casa,2270,UF,-33.862499,-70.793404,https://chile.estateathome.com/homedetails/8717596393666038/Lomas-del-Aguila-Rm-metropolitana-Paine,C3
1026279,Lomas del Aguila,Paine,casa,3840,UF,-33.862499,-70.793404,https://chile.estateathome.com/homedetails/3952407265479408/Lomas-del-Aguila-Rm-metropolitana-Paine,C2
1026291,Casa en Villa Los Lagos,Paine,casa,3200,UF,-33.811501,-70.735397,https://chile.estateathome.com/homedetails/3075683183471672/Casa-en-Villa-Los-Lagos-Rm-metropolitana-Paine,C2
1026700,VENTA CASA EN PAINE,Paine,casa,2143,UF,-33.816498,-70.740448,https://chile.estateathome.com/homedetails/1450007755658048/calle-Santa-Maria-y-Miguel-Campino.-Rm-metropolitana-Paine,C3
1055582,"Condominio Piedra Molino, Parque Nacional Altos de Cantillana , Laguna de Aculeo",Paine,casa,5300,UF,-33.864399,-70.946999,https://chile.estateathome.com/homedetails/1966689806182850/Condominio-Piedra-Molino-Parque-Nacional-Altos-de-Cantillana-Laguna-de-Aculeo-Rm-metropolitana-Paine,ABC1
1000474,"DEL VILLAR 545, Paine",Paine,casa,1400,UF,-33.810173,-70.731110,https://chile.estateathome.com/homedetails/1199984028931872/DEL-VILLAR-545-Rm-metropolitana-Paine,D
1000976,Casa en Villa Los Lagos,Paine,casa,3200,UF,-33.811501,-70.735397,https://chile.estateathome.com/homedetails/7459968699713204/Casa-en-Villa-Los-Lagos-Rm-metropolitana-Paine,C2
1064423,"Vendo Hermosa Casa, Sector Los Copihues, Comuna Paine.",Paine,casa,1638,UF,-33.821709,-70.736252,https://chile.estateathome.com/homedetails/1337313267752426/Pasaje-Cerro-El-Plomo-1628-Rm-metropolitana-Paine,C3
1163905,Disfruta de la naturaleza y aire limpio,Paine,casa,7990,UF,-33.823799,-70.644699,https://chile.estateathome.com/homedetails/1849956651116607/Disfruta-de-la-naturaleza-y-aire-limpio-Rm-metropolitana-Paine,ABC1
1085812,Casa chilena en Condominio cerrado,Paine,casa,9500,UF,-33.779301,-70.655998,https://chile.estateathome.com/homedetails/2095972812366207/Casa-chilena-en-Condominio-cerrado-Rm-metropolitana-Paine,ABC1
2453320,CASA Huelquen Paine,Paine,casa,8509,UF,-33.808624,-70.739296,https://chile.estateathome.com/homedetails/5480606955770912834/CASA-Huelquen-Paine-Rm-metropolitana-Paine,ABC1
2399390,PARCELA Paine Paine,Paine,casa,13596,UF,-33.859226,-70.785088,https://chile.estateathome.com/homedetails/8812984163812981990/PARCELA-Paine-Paine-Rm-metropolitana-Paine,ABC1
2428524,CASA Paine Paine,Paine,casa,13593,UF,-33.859226,-70.785088,https://chile.estateathome.com/homedetails/4260748084452178895/CASA-Paine-Paine-Rm-metropolitana-Paine,ABC1
1017102,Paine Centro,Paine,casa,9650,UF,-33.808601,-70.739304,https://chile.estateathome.com/homedetails/8186058790785717/Paine-Centro-Rm-metropolitana-Paine,ABC1
1062541,Conectividad acceso Sur,Paine,casa,11100,UF,-33.803398,-70.669998,https://chile.estateathome.com/homedetails/7082271740181014/Conectividad-acceso-Sur-Rm-metropolitana-Paine,ABC1
1103889,Casa cómoda en Huelquén,Paine,casa,4980,UF,-33.856400,-70.605797,https://chile.estateathome.com/homedetails/1461133280778814/Casa-comoda-en-Huelquen-Rm-metropolitana-Paine,ABC1
